"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"214016_s_at",1353.23329256731,4755.42410320378,3.564752274239,0.000618778581474478,0.00506164940539193,-4.07264341093872,"SFPQ"
"236121_at",-26.4431179171243,49.5423421677836,-3.56448186029057,0.000619328407834299,0.00506406988004897,-4.07271945611434,"OR51E2"
"1554432_x_at",-95.1895808660279,508.794123749596,-3.56423705904009,0.000619826555849683,0.00506606598496321,-4.07278829618277,NA
"243759_at",217.808389257335,688.419801428426,3.56392854289269,0.000620454898765931,0.00506912414833632,-4.07287505018877,"SCAF4"
"1562462_at",-46.7551040669948,152.830278061171,-3.56320449405518,0.000621931913127117,0.0050788248271753,-4.07307863697564,"DNAH10"
"225224_at",362.478293620054,1261.25263652387,3.56309694788865,0.000622151584655731,0.0050788248271753,-4.07310887494097,"NOL4L"
"221709_s_at",66.8319418196238,314.688445286877,3.5626372572171,0.000623091368384799,0.00508441536812522,-4.07323811789578,"ZNF839"
"225351_at",-503.195922542997,2219.59486440527,-3.56249192450865,0.000623388763917635,0.00508476160278503,-4.07327897682807,NA
"210114_at",57.2089235504372,262.885759772428,3.56176552198198,0.000624877225313846,0.00509481868537777,-4.07348318621874,"INVS"
"212518_at",128.011273602763,912.01211676813,3.56104413474315,0.000626358743232438,0.00510481095884124,-4.07368596607452,"PIP5K1C"
"200837_at",975.345202779661,4432.120698139,3.56089092351371,0.00062667382250734,0.00510529250092479,-4.07372903078814,"BCAP31"
"211950_at",736.442397240457,3765.86966674775,3.56070885992232,0.00062704843205359,0.00510625842402807,-4.07378020419558,"UBR4"
"227286_at",-142.283684683746,918.072882528166,-3.55951155675658,0.000629517265767844,0.00512427054335025,-4.07411670436904,"INO80E"
"202116_at",291.292942943782,1201.54830686223,3.55908848504064,0.000630391838374921,0.00512929597417832,-4.07423559511711,"DPF2"
"204791_at",114.947074300144,481.090510693812,3.55859600427204,0.000631411343549257,0.00513549609478093,-4.07437398257109,"NR2C1"
"227199_at",462.379971688044,1596.87309746106,3.55788090812581,0.000632894476296567,0.00514546047320931,-4.07457490885356,"DIP2A"
"216215_s_at",-54.1888924934916,141.52552918258,-3.55713211166072,0.000634451042870623,0.00515573398845738,-4.07478528354175,"RBFOX2"
"238574_at",-64.6405849332664,345.612147214083,-3.55694512358854,0.000634840311524298,0.00515573398845738,-4.07483781462448,"SLC25A51"
"228524_at",55.4552696971382,109.401229065083,3.55681586136167,0.000635109539775459,0.00515573398845738,-4.07487412785353,"ADCK5"
"226405_s_at",302.101170904329,1552.0371160824,3.55677617605802,0.000635192218304156,0.00515573398845738,-4.07488527639418,"ARRDC1"
"219033_at",715.51124911944,3099.01373053254,3.55568775470507,0.000637463765097157,0.00517206666693759,-4.07519101655609,"PARP8"
"212665_at",-253.329110198623,1558.96586447017,-3.555002036939,0.000638898815605078,0.00517970095103419,-4.07538361337532,"TIPARP"
"219559_at",109.215587374832,408.974808613966,3.55498994400152,0.000638924150807006,0.00517970095103419,-4.0753870097466,"SLC17A9"
"201711_x_at",577.443847981016,1859.67722496725,3.55396687527756,0.000641070972446501,0.0051949932561969,-4.0756743245149,"RANBP2"
"220560_at",609.754531990033,3235.31527973632,3.5528760693,0.00064336746313507,0.00521148550662173,-4.07598061881971,"C11orf21"
"227157_at",99.7093099173022,636.928123671178,3.55261866478779,0.000643910516465417,0.00521230492282264,-4.07605289050334,"PRIMPOL"
"227115_at",-93.2184578159146,257.30179082536,-3.55258037157028,0.000643991341815924,0.00521230492282264,-4.07606364190857,"LINC02762"
"219109_at",-89.1613994945415,306.276576703864,-3.55243269291566,0.00064430313663011,0.00521271296300782,-4.07610510442561,"SPAG16"
"225475_at",-312.76528070858,1800.34384388736,-3.55132435533121,0.000646647745535617,0.00522956041736286,-4.07641625690352,"MIER1"
"214927_at",-39.1263236873956,78.6888174507884,-3.55013408355182,0.000649174681860132,0.00524786813147005,-4.07675035966965,"ITGBL1"
"220683_at",-41.9527685716039,152.38150898194,-3.54992582428425,0.000649617774995333,0.00524898948288125,-4.07680881139228,"RDH8"
"236166_at",57.6264542249959,263.185357413824,3.54977721103441,0.000649934140233902,0.00524898948288125,-4.07685052137924,NA
"231863_at",-234.761707809804,726.068967479531,-3.54969791935064,0.000650102994670645,0.00524898948288125,-4.07687277514361,"ING3"
"208625_s_at",252.483587495022,1886.88946675674,3.54941670720539,0.000650702181005228,0.00525168743509034,-4.07695169737468,"EIF4G1"
"220732_at",-34.6627639867474,64.7607298244618,-3.54929399374366,0.000650963813846629,0.00525168743509034,-4.07698613598748,"PREX2"
"1557399_at",41.0510091286465,147.22584767574,3.54867536029192,0.000652284297796552,0.00525957179031678,-4.07715974213842,NA
"206134_at",-33.9034163840423,101.667969785882,-3.54858912690482,0.000652468565874929,0.00525957179031678,-4.0771839405291,"ADAMDEC1"
"213680_at",-45.7630998230269,170.411138077665,-3.54823281810781,0.000653230468429564,0.00526358595227911,-4.0772839231699,"KRT6B"
"202937_x_at",218.597736122819,651.170030353666,3.54798193079335,0.000653767451642546,0.00526578525367823,-4.07735432094729,"RRP7A"
"205234_at",17.0428751305471,25.7077194216441,3.5470317740988,0.000655804899815996,0.00528006343037158,-4.07762090872086,"SLC16A4"
"217765_at",-121.970463307927,773.877512918351,-3.54676335523771,0.000656381566865424,0.00528257368361467,-4.07769621344899,"NRBP1"
"201587_s_at",787.16310808287,3538.84152013092,3.54637664834319,0.000657213206778202,0.00528713311124553,-4.07780469899696,"IRAK1"
"219481_at",182.757660202885,924.410316195321,3.54605383645857,0.000657908200388205,0.00528955012911052,-4.07789525529082,"TTC13"
"225469_at",-248.105986319521,1549.3141051032,-3.54599074238658,0.00065804411925604,0.00528955012911052,-4.07791295419348,"ETFRF1"
"229756_at",-68.6742816268161,306.884656815607,-3.54472978297256,0.000660766094943917,0.00530802098387368,-4.07826664189905,"ID2-AS1"
"220162_s_at",136.041248703171,428.298603837327,3.54467976000521,0.000660874296894065,0.00530802098387368,-4.07828067164305,"CARD9"
