"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold","GeneSymbol"
"234314_at",1.55947396952731,3.69466658278749,5.76027452831823,5.75462329659543e-08,3.32875612295128e-07,7.54399655188158,"TRUE","RALGAPA2"
"1562992_at",1.06708769164119,3.10784272560441,5.76003001530996,5.76126746170023e-08,3.33189442001756e-07,7.54287239110721,"TRUE",NA
"1552943_at",1.09040713185457,3.01361496693396,5.75095922369541,6.01313275867378e-08,3.46509310266114e-07,7.5011889274699,"TRUE","GABRG1"
"241100_at",1.22986882918846,3.84110650783602,5.74816421169816,6.09289305192966e-08,3.50735868197783e-07,7.48835270891889,"TRUE",NA
"207441_at",1.22987554380837,3.57096350541695,5.74508334049369,6.18201226759042e-08,3.55342221121222e-07,7.47420795419941,"TRUE","SMR3B"
"242391_at",1.12929922926322,4.23021658927772,5.74395282678636,6.2150335468475e-08,3.56970383388447e-07,7.46901871913466,"TRUE",NA
"231074_at",1.05931786350116,3.85345396478717,5.74172778973623,6.28053050290521e-08,3.60436659227818e-07,7.45880721982217,"TRUE",NA
"1557832_at",1.45564623298213,3.28264894425904,5.73681475298811,6.42755716951088e-08,3.67755010718928e-07,7.43626783532503,"TRUE","LINC02996"
"235017_s_at",1.69735534670195,4.24514196151958,5.73352456561501,6.52789879055645e-08,3.72793885913593e-07,7.42117995274284,"TRUE","CSRNP3"
"1562076_at",1.21631346854125,4.86005479250488,5.73276787583089,6.55119193179637e-08,3.74006911215377e-07,7.41771071168406,"TRUE",NA
"237557_at",1.06702633813558,4.01133225484222,5.73187883481095,6.57866329926186e-08,3.75457636625409e-07,7.4136350197009,"TRUE",NA
"214967_at",1.42199234956773,5.22184326459725,5.7267235893093,6.74019943703773e-08,3.84115493245818e-07,7.39000888253845,"TRUE",NA
"229072_at",-1.00183761599575,6.63655350897592,-5.72345389800111,6.84466036160385e-08,3.89500213645598e-07,7.37503066718504,"TRUE","RAB30"
"206634_at",1.04147208366157,4.55026967800063,5.71991793914855,6.95941341319402e-08,3.95412998406301e-07,7.3588384329921,"TRUE","SIX3"
"222969_at",1.03401815236661,3.59721339439481,5.71077911878864,7.2647992003945e-08,4.10757907219823e-07,7.31701662136948,"TRUE","B3GALT1"
"223899_at",1.10978345866483,5.89723607059523,5.69649727773241,7.76851642688855e-08,4.36350560550782e-07,7.25173888800907,"TRUE",NA
"233958_at",1.15354269848203,3.8794828607544,5.69448013966398,7.84236300932755e-08,4.39865816100722e-07,7.24252707356535,"TRUE",NA
"237711_at",1.07774440620707,3.19916212149734,5.69387654735539,7.86459361821663e-08,4.40886553958776e-07,7.23977098333589,"TRUE","ZNF705G"
"237395_at",1.34516872165711,3.15868679031406,5.69356639202772,7.87604079041656e-08,4.41437755218888e-07,7.238354837057,"TRUE","CYP4Z1"
"219607_s_at",1.02162068164656,7.39893233469892,5.69350747440581,7.87821715806209e-08,4.41511604497028e-07,7.23808582877514,"TRUE","MS4A4A"
"215539_at",1.06240183385444,4.54667580009144,5.69299850642196,7.89704254929752e-08,4.42433447466791e-07,7.23576203311736,"TRUE",NA
"231284_at",1.31787650178032,4.94469402068604,5.6920780174972,7.93120098496549e-08,4.44165127371697e-07,7.23155967184274,"TRUE","CAPSL-DT"
"231482_at",1.87550981732884,4.49119742241191,5.69121256252811,7.96344913971031e-08,4.45834099645363e-07,7.22760893151132,"TRUE","LINC01206"
"231385_at",1.04593861453957,3.89374201412384,5.68875047591987,8.05589418216032e-08,4.50613237191731e-07,7.21637164989267,"TRUE","DPPA3"
"230258_at",1.42327848222854,4.60300182552876,5.6874914153832,8.1035740395179e-08,4.52975133561561e-07,7.21062626098067,"TRUE","GLIS3"
"1569208_a_at",1.40905574425494,4.64541125113955,5.6827355803517,8.28618119937971e-08,4.61962839885883e-07,7.18893114987045,"TRUE",NA
"232805_at",1.41504143655578,3.98508953050721,5.67874010917417,8.44270315924824e-08,4.69922422103123e-07,7.17071307554718,"TRUE",NA
"211751_at",1.40692519761645,7.5158320899441,5.67817376486552,8.46512262359447e-08,4.71074381114532e-07,7.16813134862048,"TRUE",NA
"244401_at",1.40714112831427,4.41701120567884,5.67751397790469,8.49131466882888e-08,4.72435768309982e-07,7.1651238507192,"TRUE","LCA5"
"238251_at",1.41792540577565,3.69020837149676,5.67476390133776,8.6013439188097e-08,4.78071036658453e-07,7.15259047547088,"TRUE","LINC02264"
"224289_s_at",1.00875461930919,2.92426780701466,5.67071803449603,8.76575942548753e-08,4.86270187285441e-07,7.13415821701652,"TRUE","VN1R10P"
"237684_at",1.33420756795875,3.28325820145932,5.66982139163274,8.80261159447685e-08,4.88066919103561e-07,7.1300743397128,"TRUE","LINC02032"
"1558185_at",-1.31466429586548,6.80439030904104,-5.66683810131414,8.92632078942215e-08,4.94324510444298e-07,7.11648935011494,"TRUE",NA
"228732_at",1.19381833347507,2.94378456274523,5.66337931116428,9.07187972349986e-08,5.01521763278417e-07,7.10074446711367,"TRUE","GUCY1A2"
"240591_at",1.24934660919741,3.84326273753441,5.66261387415392,9.10440492239522e-08,5.03218094553132e-07,7.09726087599532,"TRUE",NA
"203637_s_at",1.1090663667023,4.14828965612974,5.65804092473758,9.30111242566707e-08,5.13260316787795e-07,7.07645477198359,"TRUE","MID1"
"234248_at",1.39508698660194,2.93927570705747,5.65610725840118,9.38553632570433e-08,5.17501208761481e-07,7.06765998306939,"TRUE",NA
"206727_at",1.43672142090425,3.47198577887156,5.65562021465761,9.40691867712903e-08,5.18461366293734e-07,7.06544507441602,"TRUE","C9"
"232481_s_at",1.24163088618275,4.61107986126775,5.65079330885322,9.62142644644398e-08,5.28629628961037e-07,7.04350017625964,"TRUE","SLITRK6"
"1553024_at",1.16407184931112,2.72779253636414,5.65077673594084,9.6221711338276e-08,5.28629628961037e-07,7.04342484915194,"TRUE","DAOA-AS1"
"233609_at",1.06684952727367,4.58639072755415,5.64296218987276,9.97967036461919e-08,5.4629403002158e-07,7.00792108462859,"TRUE","PTPRK"
"237821_at",1.05775784230048,4.46958690808962,5.63899525177204,1.01660931161029e-07,5.55664441790387e-07,6.98990949140709,"TRUE",NA
"234752_x_at",1.71116317801945,3.34611919159925,5.63875481001759,1.01775013945019e-07,5.56176800344218e-07,6.98881802940164,"TRUE","DMD"
"233424_at",1.6889142213005,5.71519467863882,5.62790794887747,1.07053975103558e-07,5.8228970242609e-07,6.93960906802785,"TRUE",NA
"239985_at",1.73914106679438,4.00690396449719,5.62514401918233,1.08441415510081e-07,5.88957424556838e-07,6.9270791264399,"TRUE","LOC105377844"
"241203_at",1.20196778601319,5.33660647743572,5.62083565369335,1.10639306264911e-07,5.99940897553708e-07,6.90755511834606,"TRUE",NA
"203065_s_at",1.25122946321547,5.4229825728657,5.61618042359696,1.13063161975418e-07,6.11749468679463e-07,6.88646944915442,"TRUE","CAV1"
"215445_x_at",1.00318757342671,5.06508738844215,5.61562966198043,1.13353344747001e-07,6.13258868399196e-07,6.88397549955739,"TRUE",NA
"207050_at",1.06764062134763,4.44795248627771,5.6097682382983,1.16487099396077e-07,6.28848581738391e-07,6.85744310903152,"TRUE","CACNA2D1"
"1566865_at",1.42829315408502,3.94821004766759,5.60948379024277,1.16641314989305e-07,6.29552210961523e-07,6.85615595172927,"TRUE","FAM200A"
"1560049_at",1.0150660952139,4.60069812392946,5.60907848770066,1.1686139797008e-07,6.30615567905067e-07,6.85432198378013,"TRUE",NA
"1553155_x_at",1.42157286990207,4.01213614386271,5.6069820349687,1.18006294902024e-07,6.36416864644721e-07,6.84483695702174,"TRUE","ATP6V0D2"
"1563190_at",1.7557023546677,5.48089409199935,5.60260465840307,1.20432332561123e-07,6.47902960029462e-07,6.82503925524955,"TRUE","LOC105372069"
"1559573_at",1.44868081479509,5.10600709511136,5.59902998601906,1.22449639676949e-07,6.57914116483607e-07,6.80887895532661,"TRUE","LINC01093"
"238488_at",1.00669024643011,7.5828277967966,5.59783881651863,1.23129173261784e-07,6.61305260126525e-07,6.80349533878791,"TRUE",NA
"230336_at",1.13821382612011,6.3673675943581,5.59778696946017,1.23158834419895e-07,6.61351414988013e-07,6.80326102638063,"TRUE",NA
"218978_s_at",-1.07139347596238,7.53759465609946,-5.59723133609631,1.2347714575176e-07,6.62913682637222e-07,6.80075003562453,"TRUE","SLC25A37"
"232355_at",1.51508959277909,3.74841373723325,5.59365590412236,1.25544783322103e-07,6.72825037064889e-07,6.78459575671189,"TRUE","SNORD114-3"
"1560745_at",1.12787607476908,3.33198037916647,5.59035660600515,1.27482768299058e-07,6.8214135415453e-07,6.76969467454653,"TRUE",NA
"1562775_at",1.04230643654197,3.48511390812316,5.58842109366201,1.28633266466598e-07,6.87759030320871e-07,6.76095554672886,"TRUE","NUDT12"
"234588_at",1.21659148294737,3.73091585478963,5.57410959184201,1.37461327091676e-07,7.3159720225225e-07,6.69639438804457,"TRUE",NA
"1565900_at",1.10798434953176,4.05332603898725,5.57212657195799,1.38730391299071e-07,7.37418252408781e-07,6.68745670265753,"TRUE","METTL15"
"1561161_at",1.51859601479931,4.06864113636512,5.57066773111851,1.39671309871424e-07,7.41842711018082e-07,6.68088279257932,"TRUE",NA
